Customer_ID,Age,Gender,Annual_Income,Spending_Score,Region,Marital_Status,Num_of_Children,Employment_Status,Credit_Score,Online_Shopping_Frequency,Target
CUST_1721,38,Male,50025,29,West,Single,2,Retired,776,16,1
CUST_3154,39,Male,102412,73,South,Divorced,3,Student,374,15,0
CUST_7716,54,Male,41862,81,North,Single,2,Unemployed,564,3,0
CUST_8546,26,Female,110326,48,West,Divorced,3,Student,512,17,1
CUST_2647,53,Male,52031,83,West,Married,0,Employed,417,0,1
CUST_14964,46,Male,97627,98,South,Married,3,Retired,308,10,1
CUST_7378,29,Male,87979,26,South,Divorced,0,Unemployed,578,16,0
CUST_12764,59,Male,23169,11,West,Single,4,Retired,774,12,0
CUST_15063,41,Female,96373,25,West,Widowed,3,Student,823,0,1
CUST_5325,19,Female,39325,49,North,Married,2,Unemployed,813,10,0
CUST_13816,49,Male,136945,73,South,Married,3,Employed,322,8,1
CUST_11893,40,Female,97665,64,South,Widowed,3,Employed,818,4,0
CUST_6047,34,Male,102677,25,West,Divorced,2,Retired,570,19,0
CUST_4218,22,Female,26362,13,East,Single,1,Student,800,4,0
CUST_5339,56,Male,25132,23,West,Married,2,Unemployed,528,7,1
CUST_14782,38,Female,50523,40,West,Divorced,2,Employed,707,3,0
CUST_5222,38,Male,20572,22,East,Divorced,3,Student,684,9,0
CUST_6385,68,Female,118725,2,West,Widowed,4,Unemployed,504,0,0
CUST_15283,67,Female,33156,11,West,Divorced,3,Employed,663,10,1
CUST_12063,56,Female,143963,68,North,Widowed,2,Employed,471,16,0
CUST_12022,19,Female,126857,86,West,Single,3,Unemployed,428,8,0
CUST_14445,55,Male,148967,28,North,Single,3,Retired,330,9,1
CUST_586,33,Male,147724,77,East,Married,1,Employed,438,17,0
CUST_10475,24,Female,62430,15,North,Divorced,1,Student,793,19,0
CUST_10554,59,Female,125788,41,East,Married,4,Employed,375,13,0
CUST_7546,69,Male,90466,77,South,Single,1,Student,421,5,1
CUST_11102,26,Female,73819,79,East,Married,3,Employed,317,16,0
CUST_7743,34,Male,60459,71,South,Divorced,2,Retired,836,18,0
CUST_10849,41,Female,89596,77,North,Widowed,3,Unemployed,467,18,0
CUST_4711,62,Male,41038,97,South,Divorced,4,Unemployed,718,16,1
CUST_7325,26,Female,86510,46,East,Single,4,Unemployed,383,7,0
CUST_13911,46,Female,144729,30,East,Single,1,Employed,779,7,0
CUST_1202,35,Male,45214,74,East,Divorced,1,Student,474,5,1
CUST_6954,29,Female,87346,34,West,Divorced,2,Employed,832,16,0
