PRODUCT;AGE;AREA;RESIDENTIAL_PLACE;EDUCATION;MARITAL_STATUS;HOUSEHOLD_MEMBERS;NO_OF_DEPENDENTS;INCOME;WORK_SENIORITY;BUSINESS AGE;ECONOMIC_SECTOR;EMPLOYEE_NO;LENGTH_RELATIONSHIP_WITH_CLIENT;DEBIT_CARD;CURRENT_ACCOUNT;SAVING_ACCOUNT;SALARY_ACCOUNT;FOREIGN_ACCOUNT;FINALIZED_LOAN;DEPOSIT;PENSION_FUNDS;DEFAULT_FLAG
C;67;County capital;Owner without mortgage;University;divorced;1;0;1229.0;5;16;Missing;Missing;11;True;1;0;0;0;0;0;0;0
F;36;Urban area;Living with family;Post secondary school;married;3;1;966.456;2;21;Other;between 11-20;10;False;0;0;0;0;0;0;0;0
C;53;County capital;Owner without mortgage;Vocational school;married;2;0;1063.0;3;24;Manufacturing;between 21-50;1;False;0;0;0;0;0;0;0;0
C;69;County capital;Owner without mortgage; Highschool;married;2;0;1276.0;5;"";Missing;Missing;4;False;0;0;0;0;1;0;0;0
C;59;Rural area;Owner without mortgage;Highschool;married;2;0;663.0;5;16;Missing;Missing;1;True;1;0;0;0;0;0;0;0
C;47 ;County capital;Owner without mortgage;Highschool;single;1;0;1646.66;7;10;Wholesale and retail trade;between 501-1.000;13;False;0;0;0;0;0;0;0;0
F;41;Urban area;Living with family;University;Married;4;2;2857.0;6;7;Public administration and defence;between 101-250;2;False;1;0;0;0;0;0;0;0
C;67;Rural area;Owner without mortgage;Middle school;widow;1;0;500.0;5;16;Missing;Missing;1;Yes;1;0;0;0;0;0;0;0
C;41;Urban area;Owner without mortgage;Other;married;2;0;766.0;2;23;Manufacturing;between 21-50;6;False;0;0;0;0;0;0;0;0
C;35;County capital;Owner without mortgage;University;married;2;0;1616.935;2;16;Manufacturing;between 101-250;11;FALSE;1;0;0;0;1;0;0;0
F;29;Rural area;Living with family;University;married;2;0;1088.9975;6;14;Other;> 1.000;1;True;1;0;0;0;0;0;0;0
B;37;Urban area;Living with family;University;single;1;0;2992.75;10;15;Electricity and gas;> 1.000;8;False;0;0;0;0;0;0;0;0
