dataset,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__criterion,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,params_str
0,0.07132110595703126,0.01244873083610643,0.015269327163696288,0.006768824680045097,gini,17,10,40,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 10, 'model__min_samples_split': 40}",0.8330768262818093,0.892644539303656,0.8384344358296794,0.869215282012564,0.8593905779636244,0.8585523322782667,0.02158893650006313,65,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 10, 'model__min_samples_split': 40}"
0,0.07515425682067871,0.0049170847690078534,0.017861366271972656,0.0056173905902809265,gini,17,10,53,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 10, 'model__min_samples_split': 53}",0.8532392484827367,0.9018933124255888,0.8428579725295468,0.8707978821229104,0.8620863218824714,0.8661749474886508,0.02012413281492406,17,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 10, 'model__min_samples_split': 53}"
0,0.09709715843200684,0.02315177357909156,0.01747589111328125,0.003667924349034634,gini,17,10,30,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 10, 'model__min_samples_split': 30}",0.838240845602114,0.8875531163186883,0.836634046713322,0.8481865435432819,0.8580015680808433,0.8537232240516499,0.01857506228274228,94,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 10, 'model__min_samples_split': 30}"
0,0.08705034255981445,0.005171258992629258,0.015530586242675781,0.0046882901179284,gini,17,10,16,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 10, 'model__min_samples_split': 16}",0.8228697815334283,0.8795820386986863,0.819404516460009,0.8475041379911142,0.8411059809700807,0.8420932911306638,0.02154057592828059,140,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 10, 'model__min_samples_split': 16}"
0,0.09706301689147949,0.010992005314148803,0.013894891738891602,0.003921507871800252,gini,17,10,44,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 10, 'model__min_samples_split': 44}",0.8443921750830019,0.9057651169768951,0.842611144989401,0.869215282012564,0.8607166710224468,0.8645400780168618,0.022903257004442557,29,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 10, 'model__min_samples_split': 44}"
0,0.08680000305175781,0.009631558346496802,0.013568305969238281,0.0022614439903250786,gini,17,10,9,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 10, 'model__min_samples_split': 9}",0.8226519925274172,0.8740259991675621,0.810184781872211,0.8535102748013279,0.8369921886343178,0.8394730474005672,0.022529337645994126,184,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 10, 'model__min_samples_split': 9}"
0,0.09380831718444824,0.00918147526363645,0.016008949279785155,0.005138488049136191,gini,17,10,22,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 10, 'model__min_samples_split': 22}",0.8285274559340245,0.8744373784011382,0.8113463232376029,0.8493964824655651,0.8390490848021992,0.8405513449681059,0.02110101280300387,160,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 10, 'model__min_samples_split': 22}"
0,0.10685315132141113,0.011165500314379006,0.014833784103393555,0.002339929585190222,gini,17,10,40,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 10, 'model__min_samples_split': 40}",0.8330768262818093,0.8924848273659145,0.8378246266128486,0.869215282012564,0.8585194219395805,0.8582241968425434,0.02164816216960063,68,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 10, 'model__min_samples_split': 40}"
0,0.09455738067626954,0.010119953835997092,0.014898967742919923,0.004653957863243543,gini,17,10,59,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 10, 'model__min_samples_split': 59}",0.8615684680237342,0.9030790525694263,0.8477945233324622,0.8722933666308526,0.862328309666928,0.8694127440446808,0.01855148328126351,8,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 10, 'model__min_samples_split': 59}"
0,0.10403075218200683,0.006113279327651713,0.01623668670654297,0.0032882853360170724,gini,17,10,20,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 10, 'model__min_samples_split': 20}",0.8232279234544241,0.8752214188227777,0.8193367598803611,0.8486076022882365,0.8360435965192478,0.8404874601930095,0.020186016180703658,163,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 10, 'model__min_samples_split': 20}"
