params,scores
"{'classifier__weights': 'uniform', 'classifier__p': 1, 'classifier__n_neighbors': 2}",0.8808077913543171
"{'classifier__weights': 'distance', 'classifier__p': 1, 'classifier__n_neighbors': 30}",0.884956404789742
"{'classifier__weights': 'uniform', 'classifier__p': 1, 'classifier__n_neighbors': 29}",0.8846801616958194
"{'classifier__weights': 'uniform', 'classifier__p': 1, 'classifier__n_neighbors': 27}",0.8846801616958192
"{'classifier__weights': 'distance', 'classifier__p': 2, 'classifier__n_neighbors': 8}",0.8788717972230501
"{'classifier__weights': 'uniform', 'classifier__p': 1, 'classifier__n_neighbors': 7}",0.883298564147238
"{'classifier__weights': 'uniform', 'classifier__p': 2, 'classifier__n_neighbors': 28}",0.8835740430832244
"{'classifier__weights': 'uniform', 'classifier__p': 2, 'classifier__n_neighbors': 16}",0.8849567868687099
"{'classifier__weights': 'uniform', 'classifier__p': 1, 'classifier__n_neighbors': 5}",0.8835728968463202
"{'classifier__weights': 'distance', 'classifier__p': 2, 'classifier__n_neighbors': 9}",0.8797020548206904
"{'classifier__weights': 'distance', 'classifier__p': 1, 'classifier__n_neighbors': 9}",0.8844035365229285
"{'classifier__weights': 'uniform', 'classifier__p': 1, 'classifier__n_neighbors': 3}",0.8766561212871476
"{'classifier__weights': 'distance', 'classifier__p': 1, 'classifier__n_neighbors': 2}",0.8478955090438092
"{'classifier__weights': 'uniform', 'classifier__p': 1, 'classifier__n_neighbors': 1}",0.8478955090438092
"{'classifier__weights': 'distance', 'classifier__p': 1, 'classifier__n_neighbors': 4}",0.8749975164867074
"{'classifier__weights': 'distance', 'classifier__p': 1, 'classifier__n_neighbors': 20}",0.8835736610042563
"{'classifier__weights': 'distance', 'classifier__p': 2, 'classifier__n_neighbors': 22}",0.8824679244706296
"{'classifier__weights': 'distance', 'classifier__p': 2, 'classifier__n_neighbors': 13}",0.8824679244706296
"{'classifier__weights': 'uniform', 'classifier__p': 2, 'classifier__n_neighbors': 24}",0.884127675507974
"{'classifier__weights': 'uniform', 'classifier__p': 1, 'classifier__n_neighbors': 19}",0.8846801616958192
"{'classifier__weights': 'distance', 'classifier__p': 1, 'classifier__n_neighbors': 8}",0.8830207927374429
"{'classifier__weights': 'distance', 'classifier__p': 1, 'classifier__n_neighbors': 22}",0.8827441675645522
"{'classifier__weights': 'distance', 'classifier__p': 1, 'classifier__n_neighbors': 17}",0.8857866623873824
"{'classifier__weights': 'uniform', 'classifier__p': 1, 'classifier__n_neighbors': 15}",0.8844035365229287
"{'classifier__weights': 'distance', 'classifier__p': 1, 'classifier__n_neighbors': 14}",0.8866165379060545
"{'classifier__weights': 'uniform', 'classifier__p': 1, 'classifier__n_neighbors': 8}",0.8863402948121317
"{'classifier__weights': 'uniform', 'classifier__p': 2, 'classifier__n_neighbors': 10}",0.8844043006808647
"{'classifier__weights': 'distance', 'classifier__p': 2, 'classifier__n_neighbors': 5}",0.8755519130693932
"{'classifier__weights': 'distance', 'classifier__p': 1, 'classifier__n_neighbors': 27}",0.8838506682561151
"{'classifier__weights': 'distance', 'classifier__p': 2, 'classifier__n_neighbors': 16}",0.8816369027150532
"{'classifier__weights': 'distance', 'classifier__p': 2, 'classifier__n_neighbors': 6}",0.8785928795763509
"{'classifier__weights': 'distance', 'classifier__p': 1, 'classifier__n_neighbors': 3}",0.8725078899306908
"{'classifier__weights': 'distance', 'classifier__p': 2, 'classifier__n_neighbors': 30}",0.8835732789252884
"{'classifier__weights': 'distance', 'classifier__p': 1, 'classifier__n_neighbors': 24}",0.8835744251621925
"{'classifier__weights': 'distance', 'classifier__p': 2, 'classifier__n_neighbors': 25}",0.8844039186018966
"{'classifier__weights': 'distance', 'classifier__p': 2, 'classifier__n_neighbors': 20}",0.8841272934290059
"{'classifier__weights': 'distance', 'classifier__p': 1, 'classifier__n_neighbors': 12}",0.8849571689476781
"{'classifier__weights': 'uniform', 'classifier__p': 2, 'classifier__n_neighbors': 19}",0.8832974179103337
"{'classifier__weights': 'distance', 'classifier__p': 2, 'classifier__n_neighbors': 15}",0.8816369027150532
"{'classifier__weights': 'distance', 'classifier__p': 1, 'classifier__n_neighbors': 6}",0.8802541589295675
"{'classifier__weights': 'uniform', 'classifier__p': 1, 'classifier__n_neighbors': 16}",0.8863399127331638
"{'classifier__weights': 'uniform', 'classifier__p': 2, 'classifier__n_neighbors': 11}",0.8852341761995369
"{'classifier__weights': 'uniform', 'classifier__p': 1, 'classifier__n_neighbors': 26}",0.8841272934290059
"{'classifier__weights': 'distance', 'classifier__p': 2, 'classifier__n_neighbors': 18}",0.8830200285795069
"{'classifier__weights': 'uniform', 'classifier__p': 1, 'classifier__n_neighbors': 30}",0.8832970358313655
"{'classifier__weights': 'distance', 'classifier__p': 1, 'classifier__n_neighbors': 11}",0.8846793975378832
"{'classifier__weights': 'uniform', 'classifier__p': 1, 'classifier__n_neighbors': 12}",0.8852334120416007
"{'classifier__weights': 'distance', 'classifier__p': 2, 'classifier__n_neighbors': 28}",0.883850286177147
"{'classifier__weights': 'uniform', 'classifier__p': 2, 'classifier__n_neighbors': 29}",0.8841269113500377
"{'classifier__weights': 'uniform', 'classifier__p': 2, 'classifier__n_neighbors': 18}",0.8838510503350833
