season,cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-height,stem-width,stem-root,stem-surface,stem-color,veil-type,veil-color,has-ring,ring-type,spore-print-color,habitat,class
a,5.39,f,s,k,f,a,c,w,3.43,11.39,,,w,,,f,f,,d,e
u,9.73,x,s,k,f,a,c,w,5.29,16.36,,,w,,,f,f,,d,e
u,8.23,s,h,g,t,d,,g,4.3,12.17,,t,r,,,f,f,,d,p
u,2.26,c,h,y,f,,,n,7.96,3.38,,,y,,,f,f,,g,p
u,0.86,p,g,g,f,,,g,2.9,1.36,,,w,,,f,f,,d,e
w,5.83,x,h,n,f,x,c,n,5.49,6.1,,s,n,,,t,r,,d,e
a,6.45,x,,g,f,d,c,y,5.74,10.79,b,,n,,,f,f,,d,p
u,4.18,b,y,p,f,e,c,n,4.58,3.57,,k,w,,,t,e,,d,p
u,1.18,b,t,y,f,,c,g,3.3,2.44,,,n,,,t,f,,m,p
u,8.15,s,t,p,t,d,c,o,4.62,17.53,,,w,,,f,f,,d,e
u,7.13,f,y,n,f,e,c,p,5.72,14.26,,,w,,,t,r,,w,e
a,9.33,x,i,n,f,a,,n,13.85,18.07,s,,n,,e,f,f,,d,p
a,7.69,p,s,w,f,e,c,p,6.05,14.22,,,w,,w,t,e,,g,e
u,8.32,x,y,w,f,e,c,k,6.08,13.54,,,w,,w,t,e,,m,e
a,3.18,f,,b,f,x,,w,5.12,6.47,,,w,,,f,f,,d,p
u,7.14,x,w,y,f,f,f,f,4.51,13.72,,,y,,,f,f,,d,e
a,7.07,x,t,n,f,s,,g,5.66,6.77,,y,n,,,f,f,,d,p
a,4.51,x,s,n,f,p,,n,5.11,12.36,,,n,,,f,f,,d,e
a,20.17,p,y,n,f,,,w,21.86,19.12,s,,n,,,t,m,,m,e
a,3.95,f,,e,f,x,,w,4.75,6.34,,,w,,,f,f,,d,p
a,1.96,c,t,n,f,,,y,6.2,2.28,,,y,,,f,f,,g,p
a,4.42,f,w,y,f,f,f,f,4.55,15.37,,,y,,,f,f,,d,e
u,4.27,x,,l,f,a,,r,5.42,7.7,,,w,,,f,f,,d,e
u,2.38,s,y,n,f,a,d,p,5.97,3.29,,i,n,,,f,f,,h,e
u,5.27,x,t,n,f,p,,n,5.25,11.72,,,e,,,f,f,,d,e
a,4.77,x,s,y,f,a,c,y,5.85,7.69,,g,o,,,f,f,,g,p
u,3.22,x,t,n,f,s,c,p,5.29,7.03,,,w,,n,t,z,,d,p
w,6.34,x,,y,f,a,c,w,5.8,16.88,,,w,,,f,f,,d,e
u,3.36,f,y,w,f,e,c,w,4.14,3.5,,k,w,,,t,e,,m,p
u,11.49,x,s,r,f,x,,n,6.3,21.6,,,p,,,f,f,,d,e
