feature,shap_importance
WORK_SENIORITY,0.017777847957161204
INCOME,0.015468409536373035
PRODUCT_f,0.01306198255839057
MARITAL_STATUS_single,0.01031614746120878
MARITAL_STATUS_married,0.010170771773548014
RESIDENTIAL_PLACE_owner without mortgage,0.009300532258105324
AGE,0.007693657948465414
PRODUCT_c,0.003916719617710846
HOUSEHOLD_MEMBERS,0.0036364718244322127
LENGTH_RELATIONSHIP_WITH_CLIENT,0.0032976990727561083
CURRENT_ACCOUNT,0.0031892985133004036
PRODUCT_b,0.002801375097987945
ECONOMIC_SECTOR_missing,0.0020437257353677065
EDUCATION_university,0.0018834003718494127
AREA_rural area,0.0018479634176962626
DEBIT_CARD,0.0018305845621498622
ECONOMIC_SECTOR_manufacturing,0.0016739027954485268
BUSINESS AGE,0.0016738441037800445
EDUCATION_post secondary school,0.0013716386102063712
EMPLOYEE_NO_between 21-50,0.0012330291517619687
NO_OF_DEPENDENTS,0.0008053753247902673
FINALIZED_LOAN,0.0006823726267116328
ECONOMIC_SECTOR_wholesale and retail trade,0.0006670380618110073
EDUCATION_other,0.0006414392195478528
EDUCATION_highschool,0.0006138741867898946
SALARY_ACCOUNT,0.0005671814542764998
EMPLOYEE_NO_between 101-250,0.0005105055067053983
EMPLOYEE_NO_between 251-500,0.0005039809014117674
AREA_urban area,0.0003497878720180734
EDUCATION_missing,0.00028274326861033305
RESIDENTIAL_PLACE_owner with mortgage,0.0002210330116545582
EDUCATION_vocational school,0.00014871082588228544
PRODUCT_e,0.00013839207030545388
ECONOMIC_SECTOR_human health and social work activities,0.0001369366321972173
MARITAL_STATUS_widow,8.011986972814035e-05
EMPLOYEE_NO_between 501-1.000,7.946427693304443e-05
ECONOMIC_SECTOR_water supply,5.380615270229411e-05
EDUCATION_post-graduate,4.5833683226225026e-05
ECONOMIC_SECTOR_other,3.71388483168944e-05
ECONOMIC_SECTOR_public administration and defence,2.808327576483305e-05
ECONOMIC_SECTOR_transportation and storage,2.4412790619648833e-05
RESIDENTIAL_PLACE_other,2.3564664345885165e-05
"ECONOMIC_SECTOR_agriculture, hunting and forestry",2.3054648790659848e-05
ECONOMIC_SECTOR_construction,1.8148606750670357e-05
EMPLOYEE_NO_between 51-100,8.482181537317444e-06
ECONOMIC_SECTOR_information and communication,4.818159655917826e-06
EMPLOYEE_NO_between 0-10,4.211363971935439e-06
ECONOMIC_SECTOR_financial and insurance activities,3.1049606492377014e-06
PRODUCT_d,0.0
RESIDENTIAL_PLACE_rental,0.0
FOREIGN_ACCOUNT,0.0
SAVING_ACCOUNT,0.0
DEPOSIT,0.0
AREA_missing,0.0
EDUCATION_middle school,0.0
ECONOMIC_SECTOR_education,0.0
EDUCATION_primary school,0.0
ECONOMIC_SECTOR_electricity and gas,0.0
ECONOMIC_SECTOR_real estate activities,0.0
"ECONOMIC_SECTOR_professional, scientific and technical activities",0.0
ECONOMIC_SECTOR_mining and quarrying,0.0
EMPLOYEE_NO_between 11-20,0.0
